lga,state,event_name,agrn,cat_a,cat_b,cat_c,cat_d,severity,start_date,year
Dungog,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Dungog,New South Wales,AGRN 1090 - Lower Hunter NSW Bushfires (20 September to 9 October 2023),1090,0,1,0,0,A/B,2023-09-20,2023
Dungog,New South Wales,AGRN 1245 - Dungog NSW Bushfire: from 9 November 2025,1245,0,1,0,0,A/B,2025-11-09,2025
Edward River,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Eurobodalla,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Eurobodalla,New South Wales,Eastern bushfires: from 16 October 2013,588,0,0,0,0,unknown,2013-10-16,2013
Eurobodalla,New South Wales,Bega Valley and Eurobodalla bushfires: 15 August 2018 onwards,820,1,1,0,0,A/B,2018-08-15,2018
Eurobodalla,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Eurobodalla,New South Wales,AGRN 1263 - Eurobodalla and Bega Valley NSW Bushfire (from 7 January 2026),1263,0,1,0,0,A/B,2026-01-07,2026
Federation,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Federation,New South Wales,Riverina/Southern Border bushfires: from 18 January 2014,611,0,0,0,0,unknown,2014-01-18,2014
Forbes,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Forbes,New South Wales,NSW bushfires: 23 November 2014,672,0,0,0,0,unknown,2014-11-23,2014
Gilgandra,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Glen Innes Severn,New South Wales,Clarence Valley and Glen Innes Severn bushfires: 14 August 2018 onwards,824,1,1,0,0,A/B,2018-08-14,2018
Glen Innes Severn,New South Wales,Glen Innes Severn (Highland Creek) Bushfire: 25 December 2018 onwards,851,1,1,0,0,A/B,2018-12-25,2018
Glen Innes Severn,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Goulburn Mulwaree,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Goulburn Mulwaree,New South Wales,Southern Ranges Bushfires: from 17 January 2017,745,0,0,0,0,unknown,2017-01-17,2017
Goulburn Mulwaree,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Greater Hume,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Greater Hume,New South Wales,Riverina/Southern Border bushfires: from 18 January 2014,611,0,0,0,0,unknown,2014-01-18,2014
Greater Hume,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Griffith,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Gunnedah,New South Wales,Bushfire: 19 to 28 December 2012,567,0,0,0,0,unknown,2012-12-19,2012
Gwydir,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Gwydir,New South Wales,Bushfire: 4 to 9 December 2012,573,0,0,0,0,unknown,2012-12-04,2012
Gwydir,New South Wales,New England Area bushfires: from 19 November 2013,618,0,0,0,0,unknown,2013-11-19,2013
Gwydir,New South Wales,"NSW - Tamworth, Uralla and Gwydir Bushfires (2 January 2018)",789,1,1,0,0,A/B,2018-01-02,2018
