agrn,event_short,year,lgas,state
1255,Central Queensland Bushfires (2-27 October 2025),2025,8,Queensland
1257,Goomalibee Fires (commencing 18 December 2025),2025,1,Victoria
1259,Charlton - Jeffcott fires (commencing 18 December 2025),2025,1,Victoria
1261,Tenterfield NSW Bushfire (from 16 December 2025),2025,1,New South Wales
1262,Port Macquarie-Hastings NSW Bushfire (from 19 -25 Decem,2025,1,New South Wales
1263,Eurobodalla and Bega Valley NSW Bushfire (from 7 Januar,2026,2,New South Wales
1264,Muswellbrook NSW Bushfire (27 December 2025 - 6 January,2025,1,New South Wales
1266,Moreton Island Bushfire (4 to 13 October 2025),2025,1,Queensland
1268,North Queensland Savanna Bushfires (20 October to 13 No,2025,9,Queensland
1272,MidCoast Bushfire (27 January - 21 February 2026),2026,1,New South Wales
1273,MidCoast Bushfire (29 December 2025 - 5 January 2026),2025,1,New South Wales
1274,Lockhart Bushfire (23 - 30 November 2025),2025,1,New South Wales
1275,Cessnock Bushfire (8 - 28 December 2025),2025,1,New South Wales
1279,Port Stephens Bushfire (from 29 January - 5 February 20,2026,1,New South Wales
1282,Carrathool Shire Bushfire (6 - 18 February 2026),2026,1,New South Wales
